text,label
My refund is broken. where is my money?.,Medium Risk
send the invoice is done. Thanks.,Safe
This is fraud. report this to the police!,High Risk
The product is late. send me a replacement.,Medium Risk
My order is defective I am not happy.,Medium Risk
reset my password is done. Best regards.,Safe
schedule a call is done. Thanks.,Safe
confirm the meeting is done. Looking forward to it.,Safe
This is a criminal operation! I demand to expose your scam.,High Risk
Thanks for the help! Could you reset my password.,Safe
This is illegal. take legal action!,High Risk
confirm the meeting is done. Thank you.,Safe
My lawyer will expose your scam for stealing my data.,High Risk
I demand to report this to the police for this harassment.,High Risk
My refund is broken please fix this.,Medium Risk
This is a criminal operation! Expect to take legal action.,High Risk
You people are useless idiots! I demand to contact the authorities.,High Risk
I would like to attach the file? Best regards.,Safe
I will report this to the police because of this fraud.,High Risk
Your service is late and I am very disappointed.,Medium Risk
Can you reset my password? Looking forward to it.,Safe
My refund is late. where is my money?.,Medium Risk
Your service is late. cancel this immediately.,Medium Risk
Can you update the ticket? Looking forward to it.,Safe
This is fraud. expose your scam!,High Risk
My order is missing and I am very disappointed.,Medium Risk
My order stopped working. send me a replacement.,Medium Risk
You are scammers! I am going to file a lawsuit.,High Risk
The shipment is missing and I am frustrated.,Medium Risk
The shipment is defective and I am very disappointed.,Medium Risk
schedule a call is done. Thanks.,Safe
update the ticket is done. Thanks.,Safe
Kindly update the ticket? Thanks.,Safe
Can you confirm the meeting? Thanks.,Safe
My lawyer will contact the authorities for this harassment.,High Risk
You are scammers! I demand to report this to the police.,High Risk
Your service has not arrived. I want a refund.,Medium Risk
schedule a call is done. Thanks.,Safe
Great job! I would like to update the ticket.,Safe
Your service is broken. send me a replacement.,Medium Risk
The product is late. cancel this immediately.,Medium Risk
My order is missing and I am very disappointed.,Medium Risk
This is fraud. report this to the police!,High Risk
schedule a call is done. Cheers.,Safe
This is fraud. contact the authorities!,High Risk
This is unacceptable. expose your scam!,High Risk
Your service is broken. where is my money?.,Medium Risk
You are thieves! Expect to take legal action.,High Risk
This is fraud. report this to the police!,High Risk
My order stopped working. I want a refund.,Medium Risk
Just wanted to attach the file? Cheers.,Safe
I am going to contact the authorities because of this fraud.,High Risk
Worst company ever! I will take legal action.,High Risk
Please schedule a call? Looking forward to it.,Safe
This is a criminal operation! Expect to file a lawsuit.,High Risk
This is unacceptable. file a lawsuit!,High Risk
reset my password is done. Cheers.,Safe
My order is defective please fix this.,Medium Risk
The shipment is missing. where is my money?.,Medium Risk
The shipment has not arrived. send me a replacement.,Medium Risk
Could you schedule a call? Looking forward to it.,Safe
Could you attach the file? Best regards.,Safe
